Section,Headline,Link,Date
Top Stories,Trump’s wild and lewd rhetoric reaches a new extreme,https://edition.cnn.com/2024/10/21/politics/trump-wild-lewd-rhetoric-analysis/index.html,2024-10-21
Top Stories,Harris and Trump campaign in battleground states,https://edition.cnn.com/politics/live-news/trump-harris-election-10-21-24/index.html,2024-10-21
Top Stories,Affidavit: DeSantis attorneys penned letters threatening to prosecute local TV stations over abortion ad,https://edition.cnn.com/2024/10/21/media/florida-desantis-threaten-tv-stations-abortion-ad/index.html,2024-10-21
Top Stories,Governor slams Elon Musk for ‘concerning’ cash giveaway,https://edition.cnn.com/2024/10/21/politics/video/elon-musk-cash-giveaway-registered-voters-swing-states-cohen-digvid,2024-10-21
Top Stories,Supreme Court tosses Cohen appeal over alleged retaliation by Trump,https://edition.cnn.com/2024/10/21/politics/michael-cohen-appeal-supreme-court/index.html,2024-10-21
More Top Stories,Catch up on today’s global news,https://edition.cnn.com/videos/fast/cnni-fast,2024-10-21
More Top Stories,Major shakeup at Disney: Board chair is out. New CEO is coming soon,https://edition.cnn.com/2024/10/21/media/disney-board-shakeup/index.html,2024-10-21
More Top Stories,Europe’s secret season for travel,https://edition.cnn.com/travel/europe-shoulder-season-travel-savings/index.html,2024-10-21
More Top Stories,Scientists feared this huge ‘ghost’ fish was extinct. It was just seen after almost 20 years,https://edition.cnn.com/2024/10/21/asia/mekong-ghost-fish-cambodia-intl-hnk-scn/index.html,2024-10-21
More Top Stories,Sean ‘Diddy’ Combs named in 7 new lawsuits,https://edition.cnn.com/2024/10/21/entertainment/sean-diddy-combs-new-lawsuits-monday/index.html,2024-10-21
More Top Stories,Lionel Messi becomes Inter Miami’s all-time leading goal scorer,https://edition.cnn.com/2024/10/21/sport/lionel-messi-inter-miami-points-record-spt-intl/index.html,2024-10-21
More Top Stories,Trump mans fryer during campaign stop at McDonald’s,https://edition.cnn.com/2024/10/20/politics/video/trump-mcdonalds-pennsylvania-campaign-stop-digvid,2024-10-21
More Top Stories,Moldova backs joining EU by razor-thin margin as president condemns ‘assault’ on democracy,https://edition.cnn.com/2024/10/21/europe/moldova-eu-referendum-democracy-interference-intl/index.html,2024-10-21
More Top Stories,Rupert Murdoch’s news outlets sue Perplexity AI for allegedly engaging in ‘massive freeriding’,https://edition.cnn.com/2024/10/21/media/rupert-murdoch-dow-jones-perplexity-lawsuit/index.html,2024-10-21
More Top Stories,Turkish cleric once blamed for failed coup attempt dies at 83,https://edition.cnn.com/2024/10/21/middleeast/fethullah-gulen-turkish-cleric-dies-at-83-intl/index.html,2024-10-21
More Top Stories,Defense Secretary Austin visits Ukraine amid Russian gains and ahead of imminent US election,https://edition.cnn.com/2024/10/21/politics/defense-secretary-lloyd-austin-ukraine-visit/index.html,2024-10-21
More Top Stories,See how Taiwan is responding after China encircled the island in provocative drill,https://edition.cnn.com/2024/10/21/world/video/taiwan-response-china-drills-digvid,2024-10-21
More Top Stories,"How to watch the Orionid meteor shower, debris from Halley’s comet",https://edition.cnn.com/2024/10/20/science/orionids-meteor-shower-october/index.html,2024-10-21
More Top Stories,Scientists pinpoint origins of humanity’s love of carbs,https://edition.cnn.com/2024/10/18/science/carb-love-origins-carbohydrate-wellness/index.html,2024-10-21
More Top Stories,"World’s largest arthropod lived 300 million years ago. Now, fossils show what it really looked like",https://edition.cnn.com/2024/10/18/science/arthropleura-giant-arthropod-fossil/index.html,2024-10-21
More Top Stories,"Wild dolphins off US Southeast coast found with microplastics in their breath, study says",https://edition.cnn.com/2024/10/17/science/microplastics-dolphins-inhale-study/index.html,2024-10-21
More Top Stories,Peer into the underwater volcanic caves where life thrives,https://edition.cnn.com/2024/10/19/science/subseafloor-ecosystem-science-newsletter-wt/index.html,2024-10-21
More Top Stories,How the full English breakfast divides Britain,https://edition.cnn.com/travel/full-english-breakfast-britain/index.html,2024-10-21
More Top Stories,"Tired of California, he moved to Colombia: ‘I feel safer here’",https://edition.cnn.com/travel/swapped-united-states-san-francisco-medellin-colombia/index.html,2024-10-21
More Top Stories,The magical white stone wonderland with effervescent bathing pools,https://edition.cnn.com/travel/pammukale-hierapolis-turkey-white-pools/index.html,2024-10-21
More Top Stories,She explores the world ‘until it’s ugly.’ The internet is obsessed,https://edition.cnn.com/travel/natasha-gupta-explores-world-google-earth-ugly/index.html,2024-10-21
More Top Stories,How ‘China’s Instagram’ is transforming the travel industry,https://edition.cnn.com/travel/xiaohongshu-china-instagram-transforming-travel-industry-intl-hnk/index.html,2024-10-21
More Top Stories,‘The Great Stay’ is preventing young workers from getting a foot in the door,https://edition.cnn.com/2024/10/18/economy/younger-americans-job-search/index.html,2024-10-21
More Top Stories,"‘It’s the First Amendment, stupid’: Federal judge blasts DeSantis administration for threats against TV stations",https://edition.cnn.com/2024/10/17/media/florida-judge-tv-abortion-rights-ad-health/index.html,2024-10-21
More Top Stories,CVS names new CEO in the wake of layoffs and poor stock performance,https://edition.cnn.com/2024/10/18/business/cvs-names-new-ceo/index.html,2024-10-21
More Top Stories,Your favorite food brands may be done playing mind games with you — for now,https://edition.cnn.com/2024/10/18/food/food-shrinkflation-skimpflation-ending/index.html,2024-10-21
More Top Stories,Prada and Axiom Space unveil spacesuit designs for NASA’s Artemis III moon mission,https://edition.cnn.com/2024/10/16/style/prada-spacesuit-nasa-artemis-2026/index.html,2024-10-21
More Top Stories,Can these ultra-exclusive luxury destinations help extend your life? They’d certainly like to try,https://edition.cnn.com/2024/10/14/style/luxury-fitness-longevity/index.html,2024-10-21
More Top Stories,Trains used to serve champagne and oysters. What changed?,https://edition.cnn.com/2024/10/11/style/europe-railroad-dining-cars-wagons-lits/index.html,2024-10-21
More Top Stories,A couple walked from opposite ends of China’s Great Wall and met in the middle. Then they broke up,https://edition.cnn.com/2024/10/09/style/marina-abramovic-great-wall-shanghai-exhibition-intl-hnk/index.html,2024-10-21
More Top Stories,"After 28 years, the New York Liberty clinch the franchise’s first WNBA title with Finals win over the Minnesota Lynx",https://edition.cnn.com/2024/10/20/sport/new-york-liberty-minnesota-lynx-wnba-finals-spt-intl/index.html,2024-10-21
More Top Stories,‘What has happened online actually dwarfs what Magnus has done’: Grandmaster Hikaru Nakamura on chess’ streaming revolution,https://edition.cnn.com/2024/10/18/sport/hikaru-nakamura-chess-streaming-revolution-spt-intl/index.html,2024-10-21
More Top Stories,NFL London: Jacksonville Jaguars score crucial blowout win against New England Patriots,https://edition.cnn.com/2024/10/20/sport/nfl-london-jacksonville-jaguars-win-patriots-spt-intl/index.html,2024-10-21
More Top Stories,Los Angeles Dodgers defeat New York Mets in NLCS Game 6 to earn World Series berth,https://edition.cnn.com/2024/10/20/sport/los-angeles-dodgers-world-series-spt-intl/index.html,2024-10-21
More Top Stories,"Here’s how Trump, Harris and their allies have altered their ad spending strategies in October",https://edition.cnn.com/2024/10/19/politics/campaign-advertising-tv-trump-harris/index.html,2024-10-21
More Top Stories,"Biden administration unaware of Trump-Putin calls, but top adviser says it ‘would raise red flags’ if true",https://edition.cnn.com/2024/10/18/politics/biden-administration-trump-putin-calls/index.html,2024-10-21
More Top Stories,Hopes for ceasefire in Gaza tempered by difficult politics as Harris heads to Michigan,https://edition.cnn.com/2024/10/18/politics/kamala-harris-michigan-gaza/index.html,2024-10-21
More Top Stories,How a cop-turned-therapist is helping election workers deal with threats and harassment,https://edition.cnn.com/2024/10/18/politics/cop-turned-therapist-helping-election-workers/index.html,2024-10-21
More Top Stories,Fact check: Debunking Trump’s October lying spree about immigration,https://edition.cnn.com/2024/10/18/politics/fact-check-trump-october-immigration/index.html,2024-10-21
More Top Stories,Why I saved my long-planned Taylor Swift adventure,https://edition.cnn.com/2024/10/19/travel/taylor-swift-tour-travel-wellness/index.html,2024-10-21
More Top Stories,"Infants died at higher rates after abortion bans in the US, research shows",https://edition.cnn.com/2024/10/21/health/infant-deaths-increase-post-dobbs-abortion-bans/index.html,2024-10-21
More Top Stories,"5 ways to support your friends with cancer, according to CNN’s Sara Sidner",https://edition.cnn.com/2024/10/21/health/breast-cancer-support-help-wellness/index.html,2024-10-21
More Top Stories,What this high school senior wants adults to know about classroom phone bans,https://edition.cnn.com/2024/10/08/health/school-phone-ban-student-perspective-wellness/index.html,2024-10-21
More Top Stories,Meta fires employees for spending food allowances on personal items like acne pads and wine glasses,https://edition.cnn.com/2024/10/17/tech/meta-employees-fired-meal-credits-layoffs/index.html,2024-10-21
More Top Stories,Swiping right ahead of the election: Popular dating apps have new features to show off political views,https://edition.cnn.com/2024/10/17/tech/dating-apps-politics-election/index.html,2024-10-21
More Top Stories,"Intel is a security risk for China, says influential industry group",https://edition.cnn.com/2024/10/16/tech/china-intel-security-review-intl-hnk/index.html,2024-10-21
More Top Stories,"SpaceX sues California regulator, claiming its launches were blocked because of Elon Musk’s politics",https://edition.cnn.com/2024/10/16/tech/elon-musk-spacex-lawsuit-conspiracy-theories/index.html,2024-10-21
More Top Stories,How the world’s largest tech event is forging a future AI economy,https://edition.cnn.com/sponsor/edition/gitex-global/worlds-largest-tech-event-future-ai-economy/index.html,2024-10-21
More Top Stories,Can a troubled Victoria’s Secret successfully write its next chapter? It’s certainly pulling out all the stops,https://edition.cnn.com/2024/10/16/style/victorias-secret-fashion-show-return-ny/index.html,2024-10-21
Global Business,Major shakeup at Disney,https://edition.cnn.com/2024/10/21/media/disney-board-shakeup/index.html,2024-10-21
Global Business,Affidavit: DeSantis attorneys penned letters threatening to prosecute local TV stations over abortion ad,https://edition.cnn.com/2024/10/21/media/florida-desantis-threaten-tv-stations-abortion-ad/index.html,2024-10-21
Global Business,Major shakeup at Disney: Board chair is out. New CEO is coming soon,https://edition.cnn.com/2024/10/21/media/disney-board-shakeup/index.html,2024-10-21
Global Business,Rupert Murdoch’s news outlets sue Perplexity AI for allegedly engaging in ‘massive freeriding’,https://edition.cnn.com/2024/10/21/media/rupert-murdoch-dow-jones-perplexity-lawsuit/index.html,2024-10-21
Global Business,"The ‘60s called and it’s electric: I tried out Volkswagen’s reimagined, iconic van",https://edition.cnn.com/2024/10/21/business/video/volkswagen-id-buzz-electric-van-review-digvid,2024-10-21
Global Business,‘The Great Stay’ is preventing young workers from getting a foot in the door,https://edition.cnn.com/2024/10/18/economy/younger-americans-job-search/index.html,2024-10-21
Global Business,"‘It’s the First Amendment, stupid’: Federal judge blasts DeSantis administration for threats against TV stations",https://edition.cnn.com/2024/10/17/media/florida-judge-tv-abortion-rights-ad-health/index.html,2024-10-21
Global Business,CVS names new CEO in the wake of layoffs and poor stock performance,https://edition.cnn.com/2024/10/18/business/cvs-names-new-ceo/index.html,2024-10-21
Global Business,Your favorite food brands may be done playing mind games with you — for now,https://edition.cnn.com/2024/10/18/food/food-shrinkflation-skimpflation-ending/index.html,2024-10-21
Global Business,Meta fires employees for spending food allowances on personal items like acne pads and wine glasses,https://edition.cnn.com/2024/10/17/tech/meta-employees-fired-meal-credits-layoffs/index.html,2024-10-21
Global Business,Swiping right ahead of the election: Popular dating apps have new features to show off political views,https://edition.cnn.com/2024/10/17/tech/dating-apps-politics-election/index.html,2024-10-21
Global Business,"Intel is a security risk for China, says influential industry group",https://edition.cnn.com/2024/10/16/tech/china-intel-security-review-intl-hnk/index.html,2024-10-21
Global Business,"SpaceX sues California regulator, claiming its launches were blocked because of Elon Musk’s politics",https://edition.cnn.com/2024/10/16/tech/elon-musk-spacex-lawsuit-conspiracy-theories/index.html,2024-10-21
Global Business,How the world’s largest tech event is forging a future AI economy,https://edition.cnn.com/sponsor/edition/gitex-global/worlds-largest-tech-event-future-ai-economy/index.html,2024-10-21
Global Business,Hurricane Milton’s losses of up to $34 billion could make it one of the costliest storms in US history,https://edition.cnn.com/2024/10/17/business/hurricane-milton-losses/index.html,2024-10-21
Global Business,How Bret Baier’s combative interview with Harris compared to his sit-down with Trump,https://edition.cnn.com/2024/10/17/media/bret-baier-fox-harris-trump-interview/index.html,2024-10-21
Global Business,Elon Musk unveils his ‘Cybercab’ robotaxi,https://edition.cnn.com/2024/10/10/business/elon-musk-tesla-robotaxis/index.html,2024-10-21
Sport,Lionel Messi becomes Inter Miami’s all-time leading goal scorer,https://edition.cnn.com/2024/10/21/sport/lionel-messi-inter-miami-points-record-spt-intl/index.html,2024-10-21
Sport,Charles Leclerc wins US Grand Prix as Max Verstappen extends drivers’ championship lead,https://edition.cnn.com/2024/10/21/sport/charles-leclerc-us-gp-norris-penalty-spt-intl/index.html,2024-10-21
Sport,Women soccer players call on FIFA to cut ties with Saudi oil giant Aramco,https://edition.cnn.com/2024/10/21/sport/fifa-aramco-saudi-sponsorship-spt-intl/index.html,2024-10-21
Sport,"‘Maybe, they won’t doubt the next woman’: American cyclist Lael Wilcox on her 18,000-mile world record",https://edition.cnn.com/2024/10/21/sport/lael-wilcox-cycling-world-record-spt-intl/index.html,2024-10-21
Sport,Grandmaster Hikaru Nakamura on chess’ streaming revolution,https://edition.cnn.com/2024/10/18/sport/hikaru-nakamura-chess-streaming-revolution-spt-intl/index.html,2024-10-21
Sport,From a soccer icon making history to a running back’s revenge game: Five athletes who stood out this weekend,https://edition.cnn.com/2024/10/21/sport/five-athletes-weekend-lionel-messi-spt-intl/index.html,2024-10-21
Sport,"After 28 years, the New York Liberty clinch the franchise’s first WNBA title with Finals win over the Minnesota Lynx",https://edition.cnn.com/2024/10/20/sport/new-york-liberty-minnesota-lynx-wnba-finals-spt-intl/index.html,2024-10-21
Sport,‘What has happened online actually dwarfs what Magnus has done’: Grandmaster Hikaru Nakamura on chess’ streaming revolution,https://edition.cnn.com/2024/10/18/sport/hikaru-nakamura-chess-streaming-revolution-spt-intl/index.html,2024-10-21
Sport,NFL London: Jacksonville Jaguars score crucial blowout win against New England Patriots,https://edition.cnn.com/2024/10/20/sport/nfl-london-jacksonville-jaguars-win-patriots-spt-intl/index.html,2024-10-21
Sport,Los Angeles Dodgers defeat New York Mets in NLCS Game 6 to earn World Series berth,https://edition.cnn.com/2024/10/20/sport/los-angeles-dodgers-world-series-spt-intl/index.html,2024-10-21
Sport,Inside Michael Jordan’s slice of paradise,https://edition.cnn.com/2023/09/22/golf/gallery/michael-jordan-grove-xxiii-golf-course-spt-intl/index.html,2024-10-21
Sport,Jannik Sinner makes Novak Djokovic wait for 100th career title with victory in Shanghai Masters final,https://edition.cnn.com/2024/10/13/sport/jannik-sinner-beats-novak-djokovic-shanghai-masters-spt-intl/index.html,2024-10-21
Style,Zendaya’s vintage gown,https://edition.cnn.com/2024/10/21/style/zendaya-cher-tribute-lotw/index.html,2024-10-21
Style,Look of the Week: Zendaya pays tribute to Cher in shimmering vintage gown,https://edition.cnn.com/2024/10/21/style/zendaya-cher-tribute-lotw/index.html,2024-10-21
Style,Prada and Axiom Space unveil spacesuit designs for NASA’s Artemis III moon mission,https://edition.cnn.com/2024/10/16/style/prada-spacesuit-nasa-artemis-2026/index.html,2024-10-21
Style,Can these ultra-exclusive luxury destinations help extend your life? They’d certainly like to try,https://edition.cnn.com/2024/10/14/style/luxury-fitness-longevity/index.html,2024-10-21
Style,Trains used to serve champagne and oysters. What changed?,https://edition.cnn.com/2024/10/11/style/europe-railroad-dining-cars-wagons-lits/index.html,2024-10-21
Style,A couple walked from opposite ends of China’s Great Wall and met in the middle. Then they broke up,https://edition.cnn.com/2024/10/09/style/marina-abramovic-great-wall-shanghai-exhibition-intl-hnk/index.html,2024-10-21
Style,These colorful artworks are made from folded paper,https://edition.cnn.com/style/gallery/ayobola-kekere-ekun-artworks-spc-intl/index.html,2024-10-21
Style,Can a troubled Victoria’s Secret successfully write its next chapter? It’s certainly pulling out all the stops,https://edition.cnn.com/2024/10/16/style/victorias-secret-fashion-show-return-ny/index.html,2024-10-21
Travel,Origins of bubble tea,https://edition.cnn.com/travel/bubble-tea-origin-history-taiwan-intl-hnk/index.html,2024-10-21
Travel,Europe’s secret season,https://edition.cnn.com/travel/europe-shoulder-season-travel-savings/index.html,2024-10-21
Travel,Europe’s secret season for travel,https://edition.cnn.com/travel/europe-shoulder-season-travel-savings/index.html,2024-10-21
Travel,"‘It was a good choice: This US couple say their living costs dropped by nearly $3,000 a month when they moved to Italy",https://edition.cnn.com/2024/10/21/travel/this-us-couple-moved-to-italy-for-a-more-affordable-retirement/index.html,2024-10-21
Travel,How the full English breakfast divides Britain,https://edition.cnn.com/travel/full-english-breakfast-britain/index.html,2024-10-21
Travel,"Tired of California, he moved to Colombia: ‘I feel safer here’",https://edition.cnn.com/travel/swapped-united-states-san-francisco-medellin-colombia/index.html,2024-10-21
Travel,The magical white stone wonderland with effervescent bathing pools,https://edition.cnn.com/travel/pammukale-hierapolis-turkey-white-pools/index.html,2024-10-21
Travel,She explores the world ‘until it’s ugly.’ The internet is obsessed,https://edition.cnn.com/travel/natasha-gupta-explores-world-google-earth-ugly/index.html,2024-10-21
Travel,How ‘China’s Instagram’ is transforming the travel industry,https://edition.cnn.com/travel/xiaohongshu-china-instagram-transforming-travel-industry-intl-hnk/index.html,2024-10-21
Travel,Why I saved my long-planned Taylor Swift adventure,https://edition.cnn.com/2024/10/19/travel/taylor-swift-tour-travel-wellness/index.html,2024-10-21
Travel,Mind-bending mirrors have appeared in the desert,https://edition.cnn.com/travel/gallery/olafur-eliasson-qatar-photos/index.html,2024-10-21
Travel,Lions prowl South Africa’s ‘wildest golf course’,https://edition.cnn.com/travel/gallery/skukuza-wildest-golf-course-spc-intl/index.html,2024-10-21
Travel,Inside Qatar’s ‘city of the future’,https://edition.cnn.com/travel/gallery/lusail-qatar/index.html,2024-10-21
Travel,Inside the village where no men are allowed,https://edition.cnn.com/travel/gallery/paul-ninson-photography-umoja-village-kenya-spc-intl/index.html,2024-10-21
In Case You Missed It,Can a troubled Victoria’s Secret successfully write its next chapter? It’s certainly pulling out all the stops,https://edition.cnn.com/2024/10/16/style/victorias-secret-fashion-show-return-ny/index.html,2024-10-21
In Case You Missed It,Deadly drone attack by Hezbollah exposes Israel’s weaknesses,https://edition.cnn.com/2024/10/14/middleeast/hezbollah-attack-israel-weaknesses-drones-intl-cmd/index.html,2024-10-21
In Case You Missed It,Former Olympic snowboarder wanted in US drug trafficking case,https://edition.cnn.com/2024/10/18/us/former-canadian-olympic-snowboarder-drug-case/index.html,2024-10-21
In Case You Missed It,Hurricane Milton’s losses of up to $34 billion could make it one of the costliest storms in US history,https://edition.cnn.com/2024/10/17/business/hurricane-milton-losses/index.html,2024-10-21
